"","date","var","lwr","med","upr","trim","convergence_code","province_name","province","value","type"
"67",2020-10-01,"death",0,2,5,"full",0,"Alberta","AB",2,"fit"
"68",2020-10-01,"report",204,229,257.05,"full",0,"Alberta","AB",173,"fit"
"69",2020-10-02,"H",43,54,69,"full",0,"Alberta","AB",49,"fit"
"70",2020-10-02,"ICU",7,13,20,"full",0,"Alberta","AB",15,"fit"
"71",2020-10-02,"death",0,2,5,"full",0,"Alberta","AB",3,"fit"
"72",2020-10-02,"report",208,235,263,"full",0,"Alberta","AB",122,"fit"
"73",2020-10-03,"H",44,56,70,"full",0,"Alberta","AB",49,"fit"
"74",2020-10-03,"ICU",8,14,20,"full",0,"Alberta","AB",15,"fit"
"75",2020-10-03,"death",0,2,5,"full",0,"Alberta","AB",NA,"fit"
"76",2020-10-03,"report",214,241,273,"full",0,"Alberta","AB",97,"fit"
"77",2020-10-04,"H",45,58,73,"full",0,"Alberta","AB",49,"fit"
"78",2020-10-04,"ICU",8,14,20,"full",0,"Alberta","AB",15,"fit"
"79",2020-10-04,"death",0,2,5,"full",0,"Alberta","AB",NA,"fit"
"80",2020-10-04,"report",218.95,248,277.05,"full",0,"Alberta","AB",263,"fit"
"81",2020-10-05,"H",48,60,74,"full",0,"Alberta","AB",48,"fit"
"82",2020-10-05,"ICU",9,15,21,"full",0,"Alberta","AB",14,"fit"
"83",2020-10-05,"death",0,2,5,"full",0,"Alberta","AB",NA,"fit"
"84",2020-10-05,"report",224,254.5,285,"full",0,"Alberta","AB",218,"fit"
"85",2020-10-06,"H",48.95,61.5,75,"full",0,"Alberta","AB",48,"fit"
"86",2020-10-06,"ICU",9,15,21.05,"full",0,"Alberta","AB",13,"fit"
"87",2020-10-06,"death",0,2,5.04999999999995,"full",0,"Alberta","AB",9,"fit"
"88",2020-10-06,"report",232,261,292.05,"full",0,"Alberta","AB",276,"fit"
"89",2020-10-07,"H",50,63,78,"full",0,"Alberta","AB",53,"fit"
"90",2020-10-07,"ICU",9,15,23,"full",0,"Alberta","AB",13,"fit"
"91",2020-10-07,"death",0,3,6,"full",0,"Alberta","AB",NA,"fit"
"92",2020-10-07,"report",236,270,299,"full",0,"Alberta","AB",143,"fit"
"93",2020-10-08,"H",52,65,80,"full",0,"Alberta","AB",64,"fit"
"94",2020-10-08,"ICU",9.95,16,23,"full",0,"Alberta","AB",13,"fit"
"95",2020-10-08,"death",0,3,6,"full",0,"Alberta","AB",2,"fit"
"96",2020-10-08,"report",245.95,275,306,"full",0,"Alberta","AB",364,"fit"
"97",2020-10-09,"H",54,67,81,"full",0,"Alberta","AB",75,"fit"
"98",2020-10-09,"ICU",10,16,23,"full",0,"Alberta","AB",11,"fit"
"99",2020-10-09,"death",0,3,6,"full",0,"Alberta","AB",-1,"fit"
"100",2020-10-09,"report",250,282,315,"full",0,"Alberta","AB",277,"fit"
"101",2020-10-10,"H",56,70,84.05,"full",0,"Alberta","AB",75,"fit"
"102",2020-10-10,"ICU",10,16,24,"full",0,"Alberta","AB",11,"fit"
"103",2020-10-10,"death",0,3,6,"full",0,"Alberta","AB",NA,"fit"
"104",2020-10-10,"report",256.95,292,325,"full",0,"Alberta","AB",236,"fit"
"105",2020-10-11,"H",55.95,70,85,"full",0,"Alberta","AB",75,"fit"
"106",2020-10-11,"ICU",10,17,25,"full",0,"Alberta","AB",11,"fit"
"107",2020-10-11,"death",1,3,6,"full",0,"Alberta","AB",NA,"fit"
"108",2020-10-11,"report",266,298,331,"full",0,"Alberta","AB",259,"fit"
"109",2020-10-12,"H",58,72,88,"full",0,"Alberta","AB",75,"fit"
"110",2020-10-12,"ICU",11,17,25,"full",0,"Alberta","AB",11,"fit"
"111",2020-10-12,"death",0,3,6,"full",0,"Alberta","AB",NA,"fit"
"112",2020-10-12,"report",275,306,339,"full",0,"Alberta","AB",246,"fit"
"113",2020-10-13,"H",60,74,89.05,"full",0,"Alberta","AB",75,"fit"
"114",2020-10-13,"ICU",11,18,25,"full",0,"Alberta","AB",11,"fit"
"115",2020-10-13,"death",1,3,7,"full",0,"Alberta","AB",4,"fit"
"116",2020-10-13,"report",280,317,352,"full",0,"Alberta","AB",220,"fit"
"117",2020-10-14,"H",62,77,92,"full",0,"Alberta","AB",86,"fit"
"118",2020-10-14,"ICU",12,18,27,"full",0,"Alberta","AB",14,"fit"
"119",2020-10-14,"death",1,3,6,"full",0,"Alberta","AB",1,"fit"
"120",2020-10-14,"report",289.95,323,359,"full",0,"Alberta","AB",243,"fit"
"121",2020-10-15,"H",64,79,95,"full",0,"Alberta","AB",85,"fit"
"122",2020-10-15,"ICU",13,19,26,"full",0,"Alberta","AB",16,"fit"
"123",2020-10-15,"death",1,3,7,"full",0,"Alberta","AB",1,"fit"
"124",2020-10-15,"report",296,332,370.05,"full",0,"Alberta","AB",244,"fit"
"125",2020-10-16,"H",66,81,98,"full",0,"Alberta","AB",106,"fit"
"126",2020-10-16,"ICU",12.95,19,27,"full",0,"Alberta","AB",11,"fit"
"127",2020-10-16,"death",1,3,7,"full",0,"Alberta","AB",NA,"fit"
"128",2020-10-16,"report",304,340.5,378,"full",0,"Alberta","AB",332,"fit"
"129",2020-10-17,"H",66.95,83,99,"full",0,"Alberta","AB",106,"fit"
"130",2020-10-17,"ICU",13.95,20,28,"full",0,"Alberta","AB",11,"fit"
"131",2020-10-17,"death",1,3,7,"full",0,"Alberta","AB",NA,"fit"
"132",2020-10-17,"report",313.95,349,392,"full",0,"Alberta","AB",311,"fit"
"133",2020-10-18,"H",70,85,100,"full",0,"Alberta","AB",106,"fit"
"134",2020-10-18,"ICU",14,20.5,29,"full",0,"Alberta","AB",11,"fit"
"135",2020-10-18,"death",1,3,7,"full",0,"Alberta","AB",NA,"fit"
"136",2020-10-18,"report",322,356,399.05,"full",0,"Alberta","AB",231,"fit"
"137",2020-10-19,"H",71.95,88,104.05,"full",0,"Alberta","AB",99,"fit"
"138",2020-10-19,"ICU",13,21,29,"full",0,"Alberta","AB",18,"fit"
"139",2020-10-19,"death",1,4,7,"full",0,"Alberta","AB",4,"fit"
"140",2020-10-19,"report",332,370,411,"full",0,"Alberta","AB",356,"fit"
"141",2020-10-20,"H",74,90,108,"full",0,"Alberta","AB",100,"fit"
"142",2020-10-20,"ICU",14,22,29,"full",0,"Alberta","AB",16,"fit"
"143",2020-10-20,"death",1,4,7,"full",0,"Alberta","AB",1,"fit"
"144",2020-10-20,"report",342,377,422,"full",0,"Alberta","AB",323,"fit"
"145",2020-10-21,"H",77,93,109,"full",0,"Alberta","AB",97,"fit"
"146",2020-10-21,"ICU",14.95,23,31.05,"full",0,"Alberta","AB",16,"fit"
"147",2020-10-21,"death",1,4,7,"full",0,"Alberta","AB",3,"fit"
"148",2020-10-21,"report",349,388,426.05,"full",0,"Alberta","AB",406,"fit"
"149",2020-10-22,"H",78.95,94,110.05,"full",0,"Alberta","AB",94,"fit"
"150",2020-10-22,"ICU",15.95,23,31,"full",0,"Alberta","AB",18,"fit"
"151",2020-10-22,"death",1,4,8,"full",0,"Alberta","AB",NA,"fit"
"152",2020-10-22,"report",358,397,442,"full",0,"Alberta","AB",427,"fit"
"153",2020-10-23,"H",82,98,116,"full",0,"Alberta","AB",98,"fit"
"154",2020-10-23,"ICU",15.95,24,33,"full",0,"Alberta","AB",14,"fit"
"155",2020-10-23,"death",1,4,8,"full",0,"Alberta","AB",4,"fit"
"156",2020-10-23,"report",365,410,456.05,"full",0,"Alberta","AB",432,"fit"
"157",2020-10-24,"H",83,101,119,"full",0,"Alberta","AB",98,"fit"
"158",2020-10-24,"ICU",16,23,32,"full",0,"Alberta","AB",14,"fit"
"159",2020-10-24,"death",1,4,8,"full",0,"Alberta","AB",NA,"fit"
"160",2020-10-24,"report",375,419,464,"full",0,"Alberta","AB",396,"fit"
"161",2020-10-25,"H",87,103,121,"full",0,"Alberta","AB",98,"fit"
"162",2020-10-25,"ICU",17,25,33.05,"full",0,"Alberta","AB",14,"fit"
"163",2020-10-25,"death",1,4,8,"full",0,"Alberta","AB",NA,"fit"
"164",2020-10-25,"report",386.95,428,473,"full",0,"Alberta","AB",572,"fit"
"165",2020-10-26,"H",89,107,125,"full",0,"Alberta","AB",102,"fit"
"166",2020-10-26,"ICU",17,25,35,"full",0,"Alberta","AB",16,"fit"
"167",2020-10-26,"death",1,4,8,"full",0,"Alberta","AB",7,"fit"
"168",2020-10-26,"report",399.95,440,490,"full",0,"Alberta","AB",504,"fit"
"169",2020-10-27,"H",90.95,108,128,"full",0,"Alberta","AB",107,"fit"
"170",2020-10-27,"ICU",18,26,36,"full",0,"Alberta","AB",16,"fit"
"171",2020-10-27,"death",1,5,9,"full",0,"Alberta","AB",2,"fit"
"172",2020-10-27,"report",415,455,503,"full",0,"Alberta","AB",422,"fit"
"173",2020-10-28,"H",93,113,131,"full",0,"Alberta","AB",106,"fit"
"174",2020-10-28,"ICU",19,27,37.05,"full",0,"Alberta","AB",19,"fit"
"175",2020-10-28,"death",1,4.5,8,"full",0,"Alberta","AB",4,"fit"
"176",2020-10-28,"report",421,466,516,"full",0,"Alberta","AB",410,"fit"
"177",2020-10-29,"H",96,115,135.05,"full",0,"Alberta","AB",112,"fit"
"178",2020-10-29,"ICU",20,28,37,"full",0,"Alberta","AB",18,"fit"
"179",2020-10-29,"death",2,5,9,"full",0,"Alberta","AB",5,"fit"
"180",2020-10-29,"report",430.95,477.5,527,"full",0,"Alberta","AB",477,"fit"
"181",2020-10-30,"H",101,118,136,"full",0,"Alberta","AB",115,"fit"
"182",2020-10-30,"ICU",19,28,37,"full",0,"Alberta","AB",25,"fit"
"183",2020-10-30,"death",2,5,9,"full",0,"Alberta","AB",5,"fit"
"184",2020-10-30,"report",446,494,541,"full",0,"Alberta","AB",622,"fit"
